measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,191,Zambia,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,1,Number,2016,1248.833323419018,1662.893580669658,823.7309253093821
1,Deaths,191,Zambia,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,2,Percent,2016,0.009743466115777652,0.012336783227862289,0.0066909119540467955
1,Deaths,191,Zambia,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,3,Rate,2016,7.384998082848919,9.833550782906826,4.87114748631036
1,Deaths,185,Rwanda,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,1,Number,2021,865.6909291268852,1280.041697445586,565.1672751335434
1,Deaths,185,Rwanda,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,2,Percent,2021,0.009362993177169803,0.013269111990229097,0.006598534366297555
1,Deaths,185,Rwanda,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,3,Rate,2021,6.523653367264513,9.646108153405333,4.258974275277698
1,Deaths,185,Rwanda,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2021,1037.852588357174,1496.7283029983207,709.5176625201599
1,Deaths,185,Rwanda,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2021,0.011224593108440406,0.015110009554701492,0.008342978393675588
1,Deaths,185,Rwanda,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2021,7.821025154542315,11.279009985218364,5.346766533526731
1,Deaths,169,Central African Republic,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2021,730.0743633412314,1011.3521119161103,509.33839569811767
1,Deaths,169,Central African Republic,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2021,0.009891830186009174,0.012831322685053678,0.007401688227267132
1,Deaths,169,Central African Republic,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2021,13.312479929520341,18.44141551546092,9.287488385475747
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,402,Acute hepatitis B,1,Number,2021,96.81997329210415,185.51974213402858,35.35941140934879
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,402,Acute hepatitis B,2,Percent,2021,0.00013820457834286097,0.00026184245529252415,5.302429751858088e-05
1,Deaths,171,Democratic Republic of the Congo,3,Both,22,All ages,402,Acute hepatitis B,3,Rate,2021,0.10755651924712524,0.2060923695502367,0.03928048195533637
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,1,Number,2021,1667.5585537615864,2264.2097196219624,1147.2809913490064
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,2,Percent,2021,0.00797390783901049,0.010094113239842727,0.005973076532569581
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,522,Chronic hepatitis B including cirrhosis,3,Rate,2021,5.985090815585039,8.126551698529001,4.117745016346793
1,Deaths,191,Zambia,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2016,1535.32678660484,1964.8478720398123,1102.3827234900127
1,Deaths,191,Zambia,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2016,0.011972262689842347,0.014581765482392331,0.009348273305829845
1,Deaths,191,Zambia,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2016,9.079182275967364,11.619162858641287,6.518959853866716
1,Deaths,193,Botswana,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2016,126.59073535462889,187.6629045192445,88.08279138239075
1,Deaths,193,Botswana,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2016,0.006918866380855965,0.010221399298247424,0.004970927737345595
1,Deaths,193,Botswana,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2016,5.708636044772705,8.462698458968426,3.97211214865831
1,Deaths,194,Lesotho,3,Both,22,All ages,402,Acute hepatitis B,1,Number,2016,27.601377065784714,41.50639249285989,17.612427477160008
1,Deaths,194,Lesotho,3,Both,22,All ages,402,Acute hepatitis B,2,Percent,2016,0.0009090521031794825,0.0013327700663415445,0.000634231617543345
